name,length,pt1x,pt1y,pt1z,pt2x,pt2y,pt2z
transom_curves1_001_line_001,2920.730580723016,11863.435861269203,66739.4060246806,1000.0000237487218,9734.828911555393,64739.48113139069,1000.0000237487228
transom_curves1_001_line_002,2692.775900608942,12075.689492865304,66739.40937904909,1951.8085741180473,10341.691537439094,64739.50417478268,2446.45219878754
transom_curves1_001_line_003,2541.520897848099,12524.543277865394,66739.41311719807,2845.3265874464287,11251.89935707412,64739.526567912966,3761.9288540049088
transom_curves1_001_line_004,2505.995728710724,12873.244612902321,66739.41689945945,3781.657218083286,12132.60083976751,64739.5455126679,5097.702745382955
transom_curves1_001_line_005,2597.4918793100405,13288.396767833197,66739.42041080326,4687.162528685501,13117.237672056715,64739.5582052955,6335.864983950316
transom_curves1_001_line_006,2261.6959799175293,14168.862958337439,66739.42333855873,5068.6944460167,14616.619715092078,64739.56273606797,6025.4285590078625
transom_curves1_001_line_007,2312.093440692602,15165.804283843667,66739.42518886058,4999.718002312189,16150.98912322878,64739.559642367414,5612.681872935146
transom_curves1_002_line_001,2182.940285078234,9734.828911555393,64739.48113139069,1000.0000237487228,8859.065359898072,62739.91455590339,1000.0000237487214
transom_curves1_002_line_002,2090.910195041912,10115.239173530263,64739.498366357,2116.7813747518117,9542.450434104054,62739.9535253764,2330.414079702597
transom_curves1_002_line_003,2085.7197222217424,10809.25629540684,64739.51562711164,3095.5723734985804,10422.161772671412,62739.976081704,3545.268044462814
transom_curves1_002_line_004,2121.915356914244,11471.369167941955,64739.53173690439,4096.343078445304,11275.423227062143,62739.98366565967,4778.939211559705
transom_curves1_002_line_005,2218.634341647885,12132.60083976751,64739.5455126679,5097.702745382955,12059.635662919207,62739.97771767211,6056.213599845498
transom_curves1_002_line_006,2226.0329505419527,12807.385835783392,64739.55577037495,6087.945837545697,13148.91338179082,62739.95968748701,7004.568517559596
transom_curves1_002_line_007,2187.118507585757,13890.689464500454,64739.56148015017,6360.514767370122,14630.951950365334,62739.93109405898,6847.317743188965
transom_curves1_002_line_008,2302.3004354057475,14979.46037671969,64739.56264377205,5857.247741928372,16028.75649885852,62739.89339907663,6305.4528899947045
transom_curves1_002_line_009,2444.7707772250715,16150.98912322878,64739.559642367414,5612.681872935146,17498.22078821057,62739.848041817575,6016.444809161932
transom_curves1_003_line_001,2005.808057417575,8859.065359898072,62739.91455590339,1000.0000237487214,8709.362752496903,60739.70079419227,1000.0000237487216
transom_curves1_003_line_002,2005.0758785776973,9378.922669236363,62739.94709071003,2078.919926379457,9286.465168110528,60739.741178548466,2183.5965631882623
transom_curves1_003_line_003,2010.557953720009,10071.220643624118,62739.96893650873,3058.636439047984,10048.187400072522,60739.77859304331,3261.2477538010235
transom_curves1_003_line_004,2023.899102387838,10763.526256398452,62739.98083132069,4038.6950489758733,10801.112601712726,60739.811810020066,4345.4176101309395
transom_curves1_003_line_005,2044.087261321323,11446.047181030941,62739.98351251436,5025.692983556264,11545.750579801816,60739.839602882836,5435.298043258376
transom_curves1_003_line_006,2068.207350424649,12059.635662919207,62739.97771767211,6056.213599845498,12270.01556999271,60739.860745314625,6538.659488974855
transom_curves1_003_line_007,2119.407415623452,12863.389682782983,62739.96418769939,6916.283632031517,13074.524544418848,60739.874012252476,7584.826191396595
transom_curves1_003_line_008,2279.0439292129754,14043.44386831146,62739.943704063415,6967.780178539407,14213.807130456187,60739.878244634274,8047.018682389425
transom_curves1_003_line_009,2156.960316051836,15194.413273218624,62739.91702754755,6642.417443567142,15376.246672072739,60739.87314797033,7429.33478347604
transom_curves1_003_line_010,2134.2988507908267,16316.876677961538,62739.884894660856,6221.965896735824,16590.291728335975,60739.85914355762,6915.055205295506
transom_curves1_003_line_011,2102.5717709683577,17498.22078821057,62739.848041817575,6016.444809161932,17858.812333090988,60739.836822376266,6555.64506133422
transom_curves1_004_line_001,2015.0398469761467,8709.362752496903,60739.70079419227,1000.0000237487216,8464.998032918114,58739.53293405482,1000.0000237487226
transom_curves1_004_line_002,2000.5025205906013,9286.465168110528,60739.741178548466,2183.5965631882623,9253.925757881832,58739.51204482234,2189.507084700503
